tokenId,owner,yETHBalance,yETHxBalance
0,0x21d446fb59466800B44143e821ab07D4f28f8D1a,0,0
1,0x425d16B0e08a28A3Ff9e4404AE99D78C0a076C5A,0,0
2,0x0035Fc5208eF989c28d47e552E92b0C507D2B318,0,0
3,0x4702D39c499236A43654c54783c3f24830E247dC,0,0
4,0x68011367F4a38a2478c7B02e78E5775F2D0BCf46,0,0
5,0x2247e9b5Accd54c7B8BB7b2462ed3010007eeD64,0,0
6,0x639D62aD54a526D9E77831E00Eea371d44f78878,0,0
7,0x48C26fADfeFbE063b1773aF4732565bcB55Adc64,0,0
8,0x55F5843236D2e95E68E58cB05a43a09fa7745657,0,0
9,0xF0Ee04aF67809247ef194443E388e42933279Ef3,0,0
10,0x348B3ccAC1F8B763b19E91f5fBA71B85Dc305655,0.000170892341941254,0
11,0x7326d9e1e07991bF1e90C2455f496fAC3234De0C,0,0
12,0x58D6747Df97Ef9cDAD836De1029d7EF1f62F14A2,0,0
13,0xf8Ed473803bC8D7d9Ea5edbFe79487198B7Ee0FD,0,0
14,0xc9645A47E927400B68fA169CF8E9DFDF3e3FFDFA,0,0
15,0x0dAE2421e6Ad3B4C5dEA80C8EB94499679BaE823,0.001,0
16,0xb0e83C2D71A991017e0116d58c5765Abc57384af,0,0
17,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
18,0xC780F5C7eb59614646f78d0902527690BD16D921,0,0
19,0xb3DF5271b92e9fD2fed137253BB4611285923f16,0,0
20,0xAdE9e51C9E23d64E538A7A38656B78aB6Bcc349e,0,0
21,0xc0788916F5dA010E6678D14F0618Cd651823F450,0,0
22,0xD28a4c5B3685e5948d8A57f124669eafB69F05Bb,0,0
23,0x009d13E9bEC94Bf16791098CE4E5C168D27A9f07,0,0
24,0x090E1Fdc0CB866317751F0621884a203a8d797aa,0,0
25,0x765078e631EfC704EB5674866a7dCc06828E5C29,0,0
26,0xC8Be49a9b1ca1A1cc654491a7cBbD27aBfA06A81,0,0
27,0x40F29A3185A8f541310F15B3d09957809B2Ca1B9,0,0
28,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
29,0xa25547A556439213176f9FECec50acc863305f59,0,0
30,0x124f00837680245934b97D600F5e7144656482c1,0,0
31,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
32,0xbA22746D79E75931DD8C0336760332E5D4a372a5,0,0
33,0x71F718D3e4d1449D1502A6A7595eb84eBcCB1683,0,0
34,0xb9756116b6316C81915D7B85179Eef63a9793897,0,0
35,0xE10De56A61BC036fD58a497Af534D00C5B6D64a8,0,0
36,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
37,0x7beae16328d9e269f594B90fC0471e34fD96039E,0,0
38,0xA12aC5088dE5c394505D3dEd4c2B5f2A81858753,0,0
39,0x7326d9e1e07991bF1e90C2455f496fAC3234De0C,0,0
40,0x73Eb240a06f0e0747C698A219462059be6AacCc8,0,0
41,0x70CCBE10F980d80b7eBaab7D2E3A73e87D67B775,0,0
42,0x14b1b3fF91525Dd00E8fb8Ce000097ce7d1Cb251,0,0
43,0x34d6Dbd097f6b739C59D7467779549Aea60e1F84,0,0
44,0x0E07D202984A878333DA0546a45B4fE0BEe95960,0,0
